AH_AE_0,FORMANT FREQUENCY (Hz),0,149.1183514892,583.7089874141,762.7816277693,983.8582866495,1449.0581461199,1569.0709287773,1928.0759692199,2310.4553118166,2478.5785251603,3001.1991020363,3289.9285536847,3440.7074765672,3764.343448259,3955.0537363965,4779.3145563128,0,,,,
,BANDWIDTH (Hz),197.9242377308,37.2725177631,58.3600682148,20.2576858813,27.8965627656,27.2598737954,94.6798459966,100.7640888808,73.7601406352,34.0616230592,34.3160498235,55.0015994122,69.5966299388,69.398365067,61.6343865793,108.5589084117,0,,,,
,MAGNITUDE (dB),0.8724768592,0.9254713956,0.9164859356,0.9162576244,0.9332174422,0.9577937466,0.9581000234,0.9114762635,0.8810649889,0.9663243185,0.8878271521,0.9655514842,0.9748647273,0.9292872127,0.9542419463,0.7797991188,0,,,,
AH_AE_4,FORMANT FREQUENCY (Hz),0,153.1766148803,544.2962240428,760.008677441,1017.1221165443,1400.2261790815,1502.345508085,1933.3073872612,2362.4043543457,2487.9921082816,2967.9993287372,3167.5165392219,3392.5668376421,3738.1147973934,3953.1264440585,4775.5832986404,0,,,,
,BANDWIDTH (Hz),502.4115679742,28.4342560108,64.8732439135,14.6549360493,31.0982186382,66.7610682843,47.0446148658,95.5209676838,71.8685777131,54.9622490311,54.5387076532,114.0249193964,31.5148245336,63.627821363,59.4837843002,108.7743751018,0,,,,
,MAGNITUDE (dB),0.8722406564,0.9279758893,0.9231559688,0.96117124,0.866504532,0.9337604405,0.9332635902,0.9136454269,0.8868892282,0.9425955301,0.9195283231,0.9616745664,0.9817526014,0.921712319,0.9648992957,0.531873821,0,,,,
EE_AH_0,FORMANT FREQUENCY (Hz),0,0,0,175.3512113852,738.4888802653,919.4193755172,1081.6791893271,1482.6833983218,2250.0848028843,2297.9370897402,2753.0298334676,3007.7286235575,3180.9564243554,3392.6005641728,3717.7882440326,3945.3440979936,4870.0596992626,,,,
,BANDWIDTH (Hz),89.0836373899,435.0260703807,648.6136992195,20.2972258091,22.0767307024,57.3971616435,30.1502332852,130.9722297874,37.4805463274,98.2402708911,107.9805156877,54.5246392949,69.7076387418,47.2134342602,65.0448808741,49.6323107437,168.8378072005,,,,
,MAGNITUDE (dB),0.8088289276,0.9395353813,0.9215135405,0.9423955847,0.9161298174,0.9337769484,0.8731112318,0.9539925244,0.8838637428,0.8482460279,0.9628208665,0.9304123532,0.9726388494,0.9748162901,0.8940927157,0.5788743236,0.4426074527,,,,
EE_AH_4,FORMANT FREQUENCY (Hz),0,162.8128062639,316.0965884678,751.9455670674,1001.4884893592,1151.0040450421,1600.5454434029,2194.0430197285,2265.9368655945,2704.179165844,3006.2199923056,3156.6711814291,3395.2110896822,3722.0597862059,3947.3620748311,4782.2922563776,0,,,,
,BANDWIDTH (Hz),632.1511630699,27.8311552304,73.3793567435,9.0134012291,26.8558407199,69.5497714604,107.6385216615,94.1086596818,39.7383114639,113.7527506495,48.3087472214,59.4471300639,31.5422948958,60.4672958553,53.1983979647,115.6912372728,0,,,,
,MAGNITUDE (dB),0.8646920072,0.9353344824,0.9268296965,0.9611380607,0.9280186338,0.9410993534,0.8668009422,0.9512897011,0.88846464,0.8734865428,0.916311579,0.9668150681,0.9887373301,0.9119125157,0.9656308496,0.4518592326,0,,,,
EE_OO_0,FORMANT FREQUENCY (Hz),133.869619114,285.2757981698,536.6260499383,824.5109991414,1304.5199175727,1647.8899100754,2138.4881166551,2269.156030989,2638.165534291,3019.1865617184,3134.687908393,3368.6623842522,3665.6166602145,3906.556577429,4761.0357298058,5000,0,,,,
,BANDWIDTH (Hz),17.0208345514,20.6147109165,91.4119072942,31.1898588857,67.7251913848,76.5301319674,95.5307202425,32.840400986,105.1300449445,50.7559073979,69.9516042322,46.5235481867,82.7924645559,51.1787256288,110.0963296714,745.9657476499,0,,,,
,MAGNITUDE (dB),0.8707928781,0.9377113717,0.9011891776,0.943212936,0.915848997,0.9382097374,0.9788381112,0.9744274515,0.9615638278,0.8914806111,0.9184149406,0.9083090452,0.8762443306,0.959571484,0.8868783591,0.3916415757,0,,,,
EE_OO_4,FORMANT FREQUENCY (Hz),138.4561750961,272.3510217838,590.0383228304,872.1296792905,1322.3765947841,1672.254192663,2157.1485045319,2280.2186061482,2659.5961347394,3013.5533082213,3160.0296480882,3381.6185398354,3689.9602465623,3924.493676776,4782.5298913456,5000,0,,,,
,BANDWIDTH (Hz),20.0103351339,15.070653017,78.4225959768,27.5704915257,70.239427976,83.2305115126,69.8193615191,35.5760564641,94.6630166527,43.3190131672,59.9505235143,42.6642139036,69.8582835651,49.3208454907,125.5165507543,1133.2873964279,0,,,,
,MAGNITUDE (dB),0.9751677917,0.9812398625,0.9659472031,0.9061515252,0.9155178034,0.9006932401,0.9160012064,0.9562784037,0.8540814206,0.9399031863,0.9159564051,0.9477984239,0.9274317708,0.9470188534,0.8878459284,0.2407175695,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
AH_AE_0,FORMANT FREQUENCY (Hz),0,141.7058789872,527.5973697315,755.5368551146,984.4499458359,1449.9040333177,1810.7041923168,1825.380721627,2376.4524627655,2470.2629902828,2985.8157369069,3321.7692598343,3467.2676001154,3837.8083662574,4550.5866318754,5000,5000,,,,
,BANDWIDTH (Hz),741.227602472,37.3325213233,72.4972813396,21.3933910137,35.7721860763,25.6463052686,199.2870608069,129.8473587423,137.3589387512,61.6329784109,58.4376907248,57.0761918415,113.5076910693,63.5611097212,120.1707290746,126.1905968196,647.9767111353,,,,
